datetime,gw_elev[ft],gw_elev[m]
1/1/2018,,
1/2/2018,,0
1/3/2018,,0
1/4/2018,,0
1/5/2018,,0
1/6/2018,,0
1/7/2018,,0
1/8/2018,,0
1/9/2018,,0
1/10/2018,,0
1/11/2018,,0
1/12/2018,,0
1/13/2018,,0
1/14/2018,,0
1/15/2018,,0
1/16/2018,,0
1/17/2018,,0
1/18/2018,1239.78,377.884944
1/19/2018,1239.75,377.8758
1/20/2018,1239.72,377.866656
1/21/2018,1239.7,377.86056
1/22/2018,1240,377.952
1/23/2018,1240.49,378.101352
1/24/2018,1240.16,378.000768
1/25/2018,1239.92,377.927616
1/26/2018,1239.95,377.93676
1/27/2018,1240.94,378.238512
1/28/2018,1241.4,378.37872
1/29/2018,1241.07,378.278136
1/30/2018,1240.6,378.13488
1/31/2018,1240.24,378.025152
2/1/2018,1240.05,377.96724
2/2/2018,1239.91,377.924568
2/3/2018,1239.78,377.884944
2/4/2018,1239.67,377.851416
2/5/2018,1239.61,377.833128
2/6/2018,1239.56,377.817888
2/7/2018,1239.52,377.805696
2/8/2018,1239.47,377.790456
2/9/2018,1239.43,377.778264
2/10/2018,1239.39,377.766072
2/11/2018,1239.35,377.75388
2/12/2018,1239.3,377.73864
2/13/2018,1239.26,377.726448
2/14/2018,1239.24,377.720352
2/15/2018,1239.31,377.741688
2/16/2018,1239.7,377.86056
2/17/2018,1239.84,377.903232
2/18/2018,1239.46,377.787408
2/19/2018,1239.73,377.869704
2/20/2018,1239.81,377.894088
2/21/2018,1239.48,377.793504
2/22/2018,1239.39,377.766072
2/23/2018,1239.34,377.750832
2/24/2018,1239.28,377.732544
2/25/2018,1239.2,377.70816
2/26/2018,1239.14,377.689872
2/27/2018,1239.56,377.817888
2/28/2018,1242.13,378.601224
3/1/2018,1245.61,379.661928
3/2/2018,1247.25,380.1618
3/3/2018,1248.42,380.518416
3/4/2018,1249.46,380.835408
3/5/2018,1249.73,380.917704
3/6/2018,1249.33,380.795784
3/7/2018,1248.9,380.66472
3/8/2018,1248.46,380.530608
3/9/2018,1248.01,380.393448
3/10/2018,1247.52,380.244096
3/11/2018,1247.04,380.097792
3/12/2018,1246.57,379.954536
3/13/2018,1246.13,379.820424
