DATETIME,BearSpringDischarge[m3/day]
6/9/2018 0:00,1.23E+05
6/9/2018 1:00,8.66E+04
6/9/2018 2:00,6.05E+04
6/9/2018 3:00,4.49E+04
6/9/2018 4:00,3.52E+04
6/9/2018 5:00,2.88E+04
6/9/2018 6:00,2.43E+04
6/9/2018 7:00,2.12E+04
6/9/2018 8:00,1.88E+04
6/9/2018 9:00,1.71E+04
6/9/2018 10:00,1.57E+04
6/9/2018 11:00,1.46E+04
6/9/2018 12:00,1.37E+04
6/9/2018 13:00,1.43E+04
6/9/2018 14:00,1.92E+04
6/9/2018 15:00,2.21E+04
6/9/2018 16:00,2.30E+04
6/9/2018 17:00,2.46E+04
6/9/2018 18:00,2.62E+04
6/9/2018 19:00,2.73E+04
6/9/2018 20:00,2.82E+04
6/9/2018 21:00,2.89E+04
6/9/2018 22:00,2.95E+04
6/9/2018 23:00,3.00E+04
6/10/2018 0:00,2.95E+04
6/10/2018 1:00,2.87E+04
6/10/2018 2:00,2.73E+04
6/10/2018 3:00,2.60E+04
6/10/2018 4:00,2.57E+04
6/10/2018 5:00,2.57E+04
6/10/2018 6:00,2.46E+04
6/10/2018 7:00,2.30E+04
6/10/2018 8:00,2.18E+04
6/10/2018 9:00,2.08E+04
6/10/2018 10:00,1.99E+04
6/10/2018 11:00,1.92E+04
6/10/2018 12:00,1.87E+04
6/10/2018 13:00,1.83E+04
6/10/2018 14:00,1.79E+04
6/10/2018 15:00,1.75E+04
6/10/2018 16:00,1.71E+04
6/10/2018 17:00,1.66E+04
6/10/2018 18:00,1.60E+04
6/10/2018 19:00,1.55E+04
6/10/2018 20:00,1.52E+04
6/10/2018 21:00,1.49E+04
6/10/2018 22:00,1.46E+04
6/10/2018 23:00,1.42E+04
6/11/2018 0:00,1.40E+04
6/11/2018 1:00,1.37E+04
6/11/2018 2:00,1.35E+04
6/11/2018 3:00,1.34E+04
6/11/2018 4:00,1.32E+04
6/11/2018 5:00,1.30E+04
6/11/2018 6:00,1.29E+04
6/11/2018 7:00,1.27E+04
6/11/2018 8:00,1.25E+04
6/11/2018 9:00,1.23E+04
6/11/2018 10:00,1.21E+04
6/11/2018 11:00,1.20E+04
6/11/2018 12:00,1.19E+04
6/11/2018 13:00,1.17E+04
6/11/2018 14:00,1.16E+04
6/11/2018 15:00,1.15E+04
6/11/2018 16:00,1.14E+04
6/11/2018 17:00,1.13E+04
6/11/2018 18:00,1.12E+04
6/11/2018 19:00,1.11E+04
6/11/2018 20:00,1.10E+04
6/11/2018 21:00,1.09E+04
6/11/2018 22:00,1.09E+04
6/11/2018 23:00,1.08E+04
6/12/2018 0:00,1.07E+04
6/12/2018 1:00,1.06E+04
6/12/2018 2:00,1.05E+04
6/12/2018 3:00,1.04E+04
6/12/2018 4:00,1.03E+04
6/12/2018 5:00,1.02E+04
6/12/2018 6:00,1.01E+04
6/12/2018 7:00,1.01E+04
6/12/2018 8:00,1.00E+04
6/12/2018 9:00,9.94E+03
6/12/2018 10:00,9.88E+03
6/12/2018 11:00,9.80E+03
6/12/2018 12:00,9.70E+03
6/12/2018 13:00,9.61E+03
6/12/2018 14:00,9.53E+03
6/12/2018 15:00,9.45E+03
6/12/2018 16:00,9.38E+03
6/12/2018 17:00,9.32E+03
6/12/2018 18:00,9.23E+03
6/12/2018 19:00,9.13E+03
6/12/2018 20:00,9.04E+03
6/12/2018 21:00,8.97E+03
6/12/2018 22:00,8.90E+03
6/12/2018 23:00,8.84E+03
6/13/2018 0:00,8.78E+03
6/13/2018 1:00,8.73E+03
6/13/2018 2:00,8.67E+03
6/13/2018 3:00,8.62E+03
6/13/2018 3:59,8.57E+03
6/13/2018 4:59,8.53E+03
6/13/2018 5:59,8.48E+03
6/13/2018 6:59,8.44E+03
6/13/2018 7:59,8.39E+03
6/13/2018 8:59,8.35E+03
6/13/2018 9:59,8.31E+03
6/13/2018 10:59,8.27E+03
6/13/2018 11:59,8.23E+03
6/13/2018 12:59,8.19E+03
6/13/2018 13:59,8.15E+03
6/13/2018 14:59,8.11E+03
6/13/2018 15:59,8.07E+03
6/13/2018 16:59,8.03E+03
6/13/2018 17:59,7.95E+03
6/13/2018 18:59,7.89E+03
6/13/2018 19:59,7.83E+03
6/13/2018 20:59,7.78E+03
6/13/2018 21:59,7.70E+03
6/13/2018 22:59,7.63E+03
6/13/2018 23:59,7.58E+03
6/14/2018 0:59,7.52E+03
6/14/2018 1:59,7.48E+03
6/14/2018 2:59,7.43E+03
6/14/2018 3:59,7.39E+03
6/14/2018 4:59,7.35E+03
6/14/2018 5:59,7.31E+03
6/14/2018 6:59,7.28E+03
6/14/2018 7:59,7.24E+03
6/14/2018 8:59,7.21E+03
6/14/2018 9:59,7.17E+03
6/14/2018 10:59,7.14E+03
6/14/2018 11:59,7.11E+03
6/14/2018 12:59,7.08E+03
6/14/2018 13:59,7.05E+03
6/14/2018 14:59,7.02E+03
6/14/2018 15:59,6.99E+03
6/14/2018 16:59,6.95E+03
6/14/2018 17:59,6.92E+03
6/14/2018 18:59,6.89E+03
6/14/2018 19:59,6.86E+03
6/14/2018 20:59,6.83E+03
6/14/2018 21:59,6.79E+03
6/14/2018 22:59,6.76E+03
6/14/2018 23:59,6.70E+03
