Date,Q [m3/day]
1/1/2018,1507.782816
1/2/2018,1486.752499
1/3/2018,1482.211651
1/4/2018,1481.266329
1/5/2018,1335.772584
1/6/2018,1242.214603
1/7/2018,1249.767752
1/8/2018,1235.634708
1/9/2018,1235.634708
1/10/2018,1240.629869
1/11/2018,1257.170134
1/12/2018,1236.457195
1/13/2018,1235.634708
1/14/2018,1236.457195
1/15/2018,1234.079592
1/16/2018,1234.842174
1/17/2018,1235.664661
1/18/2018,1236.487147
1/19/2018,1234.079592
1/20/2018,1235.634708
1/21/2018,1207.103468
1/22/2018,1310.695385
1/23/2018,1209.510675
1/24/2018,1182.534899
1/25/2018,1160.343934
1/26/2018,1288.184816
1/27/2018,1353.182691
1/28/2018,1311.303493
1/29/2018,1245.50455
1/30/2018,1244.742303
1/31/2018,1238.102169
2/1/2018,1238.954608
2/2/2018,1237.279682
2/3/2018,1235.634708
2/4/2018,1237.30997
2/5/2018,1238.924655
2/6/2018,1239.747142
2/7/2018,1266.06672
2/8/2018,1299.788678
2/9/2018,1313.770954
2/10/2018,1314.59344
2/11/2018,1349.557207
2/12/2018,1354.673856
2/13/2018,1387.962362
2/14/2018,1394.876439
2/15/2018,1413.244443
2/16/2018,1402.64363
2/17/2018,1414.251686
2/18/2018,1429.206916
2/19/2018,1480.382928
2/20/2018,1429.145663
2/21/2018,1371.794014
2/22/2018,1313.831194
2/23/2018,1315.446215
2/24/2018,1316.29899
2/25/2018,1308.013546
2/26/2018,1316.329278
2/27/2018,1544.443798
2/28/2018,2212.290591
3/1/2018,2918.179871
3/2/2018,2871.854432
3/3/2018,3759.738071
3/4/2018,4234.836231
3/5/2018,3340.549157
3/6/2018,2628.449429
3/7/2018,2432.653382
3/8/2018,2345.57272
3/9/2018,2271.644674
3/10/2018,2362.034937
3/11/2018,2374.943009
3/12/2018,2369.615598
3/13/2018,2386.880191
3/14/2018,2686.13689
3/15/2018,2938.529798
3/16/2018,2879.123301
3/17/2018,3400.226187
3/18/2018,5051.340112
3/19/2018,4881.954508
3/20/2018,4327.328629
3/21/2018,3664.894914
3/22/2018,3565.793541
3/23/2018,3472.539973
3/24/2018,3202.303974
3/25/2018,3026.138391
3/26/2018,3047.234439
3/27/2018,3218.937602
3/28/2018,3302.362119
3/29/2018,3279.226649
3/30/2018,3129.880038
3/31/2018,3033.888483
4/1/2018,2980.937759
4/2/2018,2898.881699
4/3/2018,2857.390598
4/4/2018,2808.910928
4/5/2018,2772.22361
4/6/2018,2763.22796
4/7/2018,2845.668085
4/8/2018,2828.564848
4/9/2018,2751.259428
4/10/2018,2751.259428
4/11/2018,2831.721995
4/12/2018,3512.048111
4/13/2018,4204.880334
4/14/2018,4518.820779
4/15/2018,4298.75459
4/16/2018,4057.72202
4/17/2018,3772.448663
4/18/2018,3443.03911
4/19/2018,3275.894035
4/20/2018,4077.378396
4/21/2018,9359.669415
4/22/2018,13704.4427
4/23/2018,11325.57016
4/24/2018,8581.090115
4/25/2018,7271.863065
4/26/2018,6297.032161
4/27/2018,5684.282993
4/28/2018,5052.805396
4/29/2018,4651.816448
4/30/2018,4372.715291
5/1/2018,4089.558131
5/2/2018,4008.806685
5/3/2018,4268.440012
5/4/2018,10518.87481
5/5/2018,12121.96132
5/6/2018,9231.181763
5/7/2018,7550.597453
5/8/2018,6407.915902
5/9/2018,5754.455082
5/10/2018,4974.917209
5/11/2018,9792.675829
5/12/2018,16742.04125
5/13/2018,12430.15841
5/14/2018,9767.354621
5/15/2018,8249.562561
5/16/2018,7253.212344
5/17/2018,6578.143828
5/18/2018,5952.149069
5/19/2018,5473.16721
5/20/2018,4894.747664
5/21/2018,4530.673448
5/22/2018,4180.350996
5/23/2018,3940.223277
5/24/2018,3699.944569
5/25/2018,3464.73958
5/26/2018,3253.168663
5/27/2018,3117.279115
5/28/2018,3006.812961
5/29/2018,2908.297907
5/30/2018,2861.321321
5/31/2018,2760.651891
6/1/2018,2623.659231
6/2/2018,2510.256218
6/3/2018,2427.892013
6/4/2018,2369.041942
6/5/2018,2270.471213
6/6/2018,2183.798027
6/7/2018,2097.87532
6/8/2018,2036.418351
6/9/2018,1968.758117
6/10/2018,1958.018397
6/11/2018,1953.72251
6/12/2018,1938.003561
6/13/2018,1892.181109
6/14/2018,1890.098271
6/15/2018,1911.216809
6/16/2018,1929.672206
6/17/2018,1906.793219
6/18/2018,2970.850053
6/19/2018,3728.399087
6/20/2018,5320.373916
6/21/2018,8014.859719
6/22/2018,11400.40885
6/23/2018,8895.688161
6/24/2018,7125.41195
6/25/2018,6156.582658
6/26/2018,9105.547642
6/27/2018,20158.87606
6/28/2018,14212.48418
6/29/2018,10562.51386
6/30/2018,9063.625231
7/1/2018,8500.572222
7/2/2018,7400.401074
7/3/2018,6888.213611
7/4/2018,6388.164714
7/5/2018,5804.195925
7/6/2018,5308.450227
7/7/2018,4945.04745
7/8/2018,4627.010173
7/9/2018,4314.328119
7/10/2018,4062.330008
7/11/2018,3765.19557
7/12/2018,4156.134486
7/13/2018,4213.864969
7/14/2018,3823.969316
7/15/2018,3534.07967
7/16/2018,3325.64443
7/17/2018,3114.66181
7/18/2018,2882.092779
7/19/2018,2764.986373
7/20/2018,2679.857889
7/21/2018,2556.560356
7/22/2018,2447.208049
7/23/2018,2409.884938
7/24/2018,2339.907511
7/25/2018,2323.276746
7/26/2018,2292.800225
7/27/2018,2226.011147
7/28/2018,2175.983667
7/29/2018,2103.40946
7/30/2018,1900.868826
7/31/2018,1732.462806
8/1/2018,1654.247874
8/2/2018,1621.055432
8/3/2018,1604.033794
8/4/2018,1705.774009
8/5/2018,1832.39119
8/6/2018,1685.519918
8/7/2018,1563.55872
8/8/2018,1516.012059
8/9/2018,1480.799844
8/10/2018,1388.784915
8/11/2018,1377.69881
8/12/2018,1387.932138
8/13/2018,1421.195143
8/14/2018,1470.696566
8/15/2018,1482.180781
8/16/2018,1552.016219
8/17/2018,1570.936167
8/18/2018,1632.40319
8/19/2018,1656.989999
8/20/2018,1659.826938
8/21/2018,1659.826938
8/22/2018,1672.689231
8/23/2018,1704.908526
8/24/2018,1738.984301
8/25/2018,1752.66582
8/26/2018,1745.82506
8/27/2018,1740.538124
8/28/2018,1775.844985
8/29/2018,1763.73485
8/30/2018,1753.643071
8/31/2018,1747.779563
9/1/2018,1750.711317
9/2/2018,1738.984301
9/3/2018,1696.962491
9/4/2018,2114.811839
9/5/2018,3033.643958
9/6/2018,2241.5009
9/7/2018,2059.136079
9/8/2018,2052.593657
9/9/2018,1977.349893
9/10/2018,1945.293497
9/11/2018,1916.133755
9/12/2018,1874.47698
9/13/2018,1917.891331
9/14/2018,2039.67313
9/15/2018,1992.418364
9/16/2018,1950.500594
9/17/2018,2163.2514
9/18/2018,3497.643207
9/19/2018,5517.223771
9/20/2018,10193.33984
9/21/2018,17352.90391
9/22/2018,11197.31533
9/23/2018,8585.61288
9/24/2018,7000.885404
9/25/2018,5975.043492
9/26/2018,5355.377467
9/27/2018,4923.470076
9/28/2018,4570.712354
9/29/2018,4219.914748
9/30/2018,4205.055286
10/1/2018,4020.945284
10/2/2018,3775.606638
10/3/2018,3545.835014
10/4/2018,3275.894022
10/5/2018,3223.185196
10/6/2018,3258.581819
10/7/2018,3300.607655
10/8/2018,3405.484928
10/9/2018,4365.312762
10/10/2018,17482.83595
10/11/2018,13832.59585
10/12/2018,10507.08809
10/13/2018,8577.155332
10/14/2018,7273.699317
10/15/2018,6468.68121
10/16/2018,5829.855542
10/17/2018,5491.394836
10/18/2018,5273.676769
10/19/2018,4897.381344
10/20/2018,4553.395533
10/21/2018,4396.387536
10/22/2018,4223.333159
10/23/2018,4005.975289
10/24/2018,3839.956836
10/25/2018,3722.511715
10/26/2018,3686.729201
10/27/2018,3567.860385
10/28/2018,3457.659001
10/29/2018,3399.281983
10/30/2018,3367.346276
10/31/2018,3262.829414
11/1/2018,3259.997684
11/2/2018,3139.649166
11/3/2018,3114.482931
11/4/2018,3182.302521
11/5/2018,3220.353467
11/6/2018,3486.034831
11/7/2018,4320.7505
11/8/2018,5311.217664
11/9/2018,5752.158172
11/10/2018,5672.48542
11/11/2018,5360.454073
11/12/2018,5070.346442
11/13/2018,4846.133345
11/14/2018,4699.185343
11/15/2018,4600.03721
11/16/2018,4184.037856
11/17/2018,4009.170032
11/18/2018,3991.265019
11/19/2018,3833.493673
11/20/2018,3703.785333
11/21/2018,3595.626
11/22/2018,2994.389572
11/23/2018,2963.450402
11/24/2018,2862.631643
11/25/2018,2749.949167
11/26/2018,2756.500474
11/27/2018,2759.120996
11/28/2018,2739.501704
11/29/2018,2707.576229
11/30/2018,2511.497497
12/1/2018,2500.53149
12/2/2018,2510.256218
12/3/2018,2496.636204
12/4/2018,2468.870073
12/5/2018,2468.870073
12/6/2018,2385.571682
12/7/2018,2380.776552
12/8/2018,2373.97212
12/9/2018,2940.492469
12/10/2018,2974.211852
12/11/2018,2908.472568
12/12/2018,2843.501522
12/13/2018,2698.681147
12/14/2018,2637.862978
12/15/2018,2761.914656
12/16/2018,2750.260814
12/17/2018,2597.936462
12/18/2018,2660.412131
12/19/2018,2739.674841
12/20/2018,2691.062244
12/21/2018,2735.640175
12/22/2018,2678.340532
12/23/2018,2599.662671
12/24/2018,2558.666105
12/25/2018,2512.840945
12/26/2018,2497.911539
12/27/2018,4801.54348
12/28/2018,8955.723993
12/29/2018,6541.954721
12/30/2018,5630.230552
12/31/2018,5106.665423
