DATE,gw_elev[ft],PRCP,RCH[m3/s],RCH[m/day],Q [m3/s]
2017-02-01 01:00:00,1249.98,,0.039531407,0.000737692,
2017-02-01 02:00:00,1249.98,,0.038791213,0.000723879,
2017-02-01 03:00:00,1249.98,,0.038806445,0.000724163,
2017-02-01 04:00:00,1249.98,,0.038820776,0.000724431,
2017-02-01 05:00:00,1249.98,,0.038834331,0.000724684,
2017-02-01 06:00:00,1249.98,,0.038847188,0.000724924,
2017-02-01 07:00:00,1249.98,,0.038859401,0.000725152,
2017-02-01 08:00:00,1249.98,,0.038871042,0.000725369,
2017-02-01 09:00:00,1249.98,,0.038882183,0.000725577,
2017-02-01 10:00:00,1249.98,,0.038892844,0.000725776,
2017-02-01 11:00:00,1249.98,,0.038903082,0.000725967,
2017-02-01 12:00:00,1249.98,,0.038912913,0.00072615,
2017-02-01 13:00:00,1249.98,,0.038922353,0.000726326,
2017-02-01 14:00:00,1249.98,,0.038931426,0.000726496,
2017-02-01 15:00:00,1249.98,,0.036555805,0.000682164,
2017-02-01 16:00:00,1249.98,,0.035406399,0.000660716,
2017-02-01 17:00:00,1249.98,,0.035411581,0.000660812,
2017-02-01 18:00:00,1249.98,,0.035416466,0.000660903,
2017-02-01 19:00:00,1249.98,,0.035421043,0.000660989,
2017-02-01 20:00:00,1249.98,,0.035425411,0.00066107,
2017-02-01 21:00:00,1249.98,,0.035429596,0.000661148,
2017-02-01 22:00:00,1249.98,,0.035433625,0.000661224,
2017-02-01 23:00:00,1249.98,,0.035437483,0.000661296,
2017-02-02 00:00:00,1249.76,,0.035441195,0.000661365,
2017-02-02 01:00:00,1249.76,,0.03544475,0.000661431,
2017-02-02 02:00:00,1249.76,,0.035448151,0.000661495,
2017-02-02 03:00:00,1249.76,,0.035451395,0.000661555,
2017-02-02 04:00:00,1249.76,,0.035454484,0.000661613,
2017-02-02 05:00:00,1249.76,,0.035457416,0.000661668,
2017-02-02 06:00:00,1249.76,,0.035440759,0.000661357,
2017-02-02 07:00:00,1249.76,,0.034296213,0.000639998,
2017-02-02 08:00:00,1249.76,,0.034297049,0.000640014,
2017-02-02 09:00:00,1249.76,,0.034297659,0.000640025,
2017-02-02 10:00:00,1249.76,,0.034298047,0.000640033,
2017-02-02 11:00:00,1249.76,,0.034298221,0.000640036,
2017-02-02 12:00:00,1249.76,,0.034298177,0.000640035,
2017-02-02 13:00:00,1249.76,,0.034297925,0.00064003,
2017-02-02 14:00:00,1249.76,,0.034297466,0.000640022,
2017-02-02 15:00:00,1249.76,,0.034296804,0.000640009,
2017-02-02 16:00:00,1249.76,,0.034295943,0.000639993,0.02626502
2017-02-02 17:00:00,1249.76,,0.034294885,0.000639974,0.02626502
2017-02-02 18:00:00,1249.76,,0.034293635,0.00063995,0.02626502
2017-02-02 19:00:00,1249.76,,0.034292192,0.000639923,0.024998358
2017-02-02 20:00:00,1249.76,,0.03429057,0.000639893,0.02626502
2017-02-02 21:00:00,1249.76,,0.034288764,0.000639859,0.024998358
2017-02-02 22:00:00,1249.76,,0.03428678,0.000639822,0.02626502
2017-02-02 23:00:00,1249.76,,0.034284623,0.000639782,0.027568866
2017-02-03 00:00:00,1249.52,,0.034282298,0.000639739,0.02626502
2017-02-03 01:00:00,1249.52,,0.034279807,0.000639692,0.02626502
2017-02-03 02:00:00,1249.52,,0.034277156,0.000639643,0.024998358
2017-02-03 03:00:00,1249.52,,0.033974577,0.000633996,0.024998358
2017-02-03 04:00:00,1249.52,,0.033071839,0.000617151,0.02626502
2017-02-03 05:00:00,1249.52,,0.033067889,0.000617077,0.024998358
2017-02-03 06:00:00,1249.52,,0.033063685,0.000616998,0.023768541
2017-02-03 07:00:00,1249.52,,0.033059238,0.000616915,0.024998358
2017-02-03 08:00:00,1249.52,,0.033054556,0.000616828,0.02626502
2017-02-03 09:00:00,1249.52,,0.03304965,0.000616736,0.023768541
2017-02-03 10:00:00,1249.52,,0.033044528,0.000616641,0.024998358
2017-02-03 11:00:00,1249.52,,0.033039199,0.000616541,0.024998358
2017-02-03 12:00:00,1249.52,,0.033033674,0.000616438,0.023768541
2017-02-03 13:00:00,1249.52,,0.03302796,0.000616332,0.024998358
2017-02-03 14:00:00,1249.52,,0.033022067,0.000616222,0.024998358
2017-02-03 15:00:00,1249.52,,0.033016003,0.000616109,0.023768541
2017-02-03 16:00:00,1249.52,,0.033009778,0.000615992,0.024998358
2017-02-03 17:00:00,1249.52,,0.033003398,0.000615873,0.023768541
2017-02-03 18:00:00,1249.52,,0.032996873,0.000615752,0.024998358
2017-02-03 19:00:00,1249.52,,0.03299021,0.000615627,0.024998358
2017-02-03 20:00:00,1249.52,,0.032983417,0.0006155,0.023768541
2017-02-03 21:00:00,1249.52,,0.032976501,0.000615371,0.024998358
2017-02-03 22:00:00,1249.52,,0.032969471,0.00061524,0.024998358
2017-02-03 23:00:00,1249.52,,0.032962332,0.000615107,0.023768541
2017-02-04 00:00:00,1249.3,,0.032955091,0.000614972,0.02626502
2017-02-04 01:00:00,1249.3,,0.032947756,0.000614835,0.023768541
2017-02-04 02:00:00,1249.3,,0.032086354,0.00059876,0.023768541
2017-02-04 03:00:00,1249.3,,0.03181864,0.000593765,0.02626502
2017-02-04 04:00:00,1249.3,,0.031810551,0.000593614,0.024998358
2017-02-04 05:00:00,1249.3,,0.03180229,0.00059346,0.023768541
2017-02-04 06:00:00,1249.3,,0.031793915,0.000593303,0.023768541
2017-02-04 07:00:00,1249.3,,0.03178546,0.000593146,0.024998358
2017-02-04 08:00:00,1249.3,,0.03177695,0.000592987,0.023768541
2017-02-04 09:00:00,1249.3,,0.031768399,0.000592827,0.023768541
2017-02-04 10:00:00,1249.3,,0.031759819,0.000592667,0.024998358
2017-02-04 11:00:00,1249.3,,0.031751216,0.000592506,0.024998358
2017-02-04 12:00:00,1249.3,,0.031742596,0.000592346,0.024998358
2017-02-04 13:00:00,1249.3,,0.031733963,0.000592185,0.02626502
2017-02-04 14:00:00,1249.3,,0.03172532,0.000592023,0.023768541
2017-02-04 15:00:00,1249.3,,0.031716671,0.000591862,0.023768541
2017-02-04 16:00:00,1249.3,,0.03170802,0.0005917,0.024998358
2017-02-04 17:00:00,1249.3,,0.031790366,0.000593237,0.024998358
2017-02-04 18:00:00,1249.3,,0.032153316,0.00060001,0.024998358
2017-02-04 19:00:00,1249.3,,0.03387164,0.000632076,0.024998358
2017-02-04 20:00:00,1249.3,,0.034976159,0.000652687,0.024998358
2017-02-04 21:00:00,1249.3,,0.047264983,0.000882007,0.023768541
2017-02-04 22:00:00,1249.3,,0.033534362,0.000625782,0.023768541
2017-02-04 23:00:00,1249.3,,0.033373901,0.000622787,0.023768541
2017-02-05 00:00:00,1249.01,,0.033005,0.000615903,0.024998358
2017-02-05 01:00:00,1249.01,,0.033363885,0.0006226,0.024998358
2017-02-05 02:00:00,1249.01,,0.032110161,0.000599205,0.023768541
2017-02-05 03:00:00,1249.01,,0.032388016,0.00060439,0.023768541
2017-02-05 04:00:00,1249.01,,0.032210392,0.000601075,0.024998358
2017-02-05 05:00:00,1249.01,,0.031689776,0.00059136,0.023768541
2017-02-05 06:00:00,1249.01,,0.031663856,0.000590876,0.023768541
2017-02-05 07:00:00,1249.01,,0.031637843,0.000590391,0.024998358
2017-02-05 08:00:00,1249.01,,0.031629637,0.000590238,0.023768541
2017-02-05 09:00:00,1249.01,,0.031621421,0.000590084,0.024998358
2017-02-05 10:00:00,1249.01,,0.03157763,0.000589267,0.023768541
2017-02-05 11:00:00,1249.01,,0.031569446,0.000589114,0.024998358
2017-02-05 12:00:00,1249.01,,0.031561268,0.000588962,0.023768541
2017-02-05 13:00:00,1249.01,,0.031553101,0.000588809,0.023768541
2017-02-05 14:00:00,1249.01,,0.031544949,0.000588657,0.023768541
2017-02-05 15:00:00,1249.01,,0.03153681,0.000588505,0.023768541
2017-02-05 16:00:00,1249.01,,0.031528689,0.000588354,0.023768541
2017-02-05 17:00:00,1249.01,,0.031520586,0.000588203,0.023768541
2017-02-05 18:00:00,1249.01,,0.031512538,0.000588053,0.022575238
2017-02-05 19:00:00,1249.01,,0.031504495,0.000587902,0.024998358
2017-02-05 20:00:00,1249.01,,0.031820522,0.0005938,0.023768541
2017-02-05 21:00:00,1249.01,,0.031488508,0.000587604,0.023768541
2017-02-05 22:00:00,1249.01,,0.03148051,0.000587455,0.023768541
2017-02-05 23:00:00,1249.01,,0.031472528,0.000587306,0.023768541
2017-02-06 00:00:00,1248.77,,0.031464566,0.000587157,0.023768541
2017-02-06 01:00:00,1248.77,,0.031456624,0.000587009,0.023768541
2017-02-06 02:00:00,1248.77,,0.031034194,0.000579126,0.022575238
2017-02-06 03:00:00,1248.77,,0.030749679,0.000573817,0.024998358
2017-02-06 04:00:00,1248.77,,0.030741458,0.000573663,0.024998358
2017-02-06 05:00:00,1248.77,,0.030733264,0.000573511,0.023768541
2017-02-06 06:00:00,1248.77,,0.030725096,0.000573358,0.023768541
2017-02-06 07:00:00,1248.77,,0.030696883,0.000572832,0.023768541
2017-02-06 08:00:00,1248.77,,0.030307694,0.000565569,0.023768541
2017-02-06 09:00:00,1248.77,,0.030300063,0.000565427,0.024998358
2017-02-06 10:00:00,1248.77,,0.030292352,0.000565283,0.023768541
2017-02-06 11:00:00,1248.77,,0.030284572,0.000565138,0.022575238
2017-02-06 12:00:00,1248.77,,0.030276734,0.000564991,0.022575238
2017-02-06 13:00:00,1248.77,,0.030268842,0.000564844,0.024998358
2017-02-06 14:00:00,1248.77,,0.030260909,0.000564696,0.023768541
2017-02-06 15:00:00,1248.77,,0.031261682,0.000583371,0.022575238
2017-02-06 16:00:00,1248.77,,0.030839554,0.000575494,0.023768541
2017-02-06 17:00:00,1248.77,,0.032687987,0.000609987,0.023768541
2017-02-06 18:00:00,1248.77,,0.045457476,0.000848278,0.023768541
2017-02-06 19:00:00,1248.77,,0.035206141,0.000656979,0.022575238
2017-02-06 20:00:00,1248.77,,0.032733236,0.000610832,0.022575238
2017-02-06 21:00:00,1248.77,,0.048249137,0.000900373,0.023768541
2017-02-06 22:00:00,1248.77,,0.031734851,0.000592201,0.023768541
2017-02-06 23:00:00,1248.77,,0.033766061,0.000630105,0.023768541
2017-02-07 00:00:00,1248.52,,0.032605288,0.000608444,0.022575238
2017-02-07 01:00:00,1248.52,,0.032264963,0.000602093,0.023768541
2017-02-07 02:00:00,1248.52,,0.031991788,0.000596996,0.022575238
2017-02-07 03:00:00,1248.52,,0.033008866,0.000615975,0.023768541
2017-02-07 04:00:00,1248.52,,0.032236383,0.00060156,0.022575238
2017-02-07 05:00:00,1248.52,,0.031461406,0.000587098,0.023768541
2017-02-07 06:00:00,1248.52,,0.032355398,0.000603781,0.022575238
2017-02-07 07:00:00,1248.52,,0.03185764,0.000594492,0.022575238
2017-02-07 08:00:00,1248.52,,0.03171915,0.000591908,0.022575238
2017-02-07 09:00:00,1248.52,,0.031739444,0.000592287,0.022575238
2017-02-07 10:00:00,1248.52,,0.031386653,0.000585703,0.023768541
2017-02-07 11:00:00,1248.52,,0.030643457,0.000571835,0.022575238
2017-02-07 12:00:00,1248.52,,0.031132737,0.000580965,0.023768541
2017-02-07 13:00:00,1248.52,,0.030720253,0.000573268,0.023768541
2017-02-07 14:00:00,1248.52,,0.031016515,0.000578796,0.021418106
2017-02-07 15:00:00,1248.52,,0.03020451,0.000563644,0.023768541
2017-02-07 16:00:00,1248.52,,0.030110081,0.000561881,0.023768541
2017-02-07 17:00:00,1248.52,,0.03010306,0.00056175,0.022575238
2017-02-07 18:00:00,1248.52,,0.030096039,0.000561619,0.022575238
2017-02-07 19:00:00,1248.52,,0.030089036,0.000561489,0.022575238
2017-02-07 20:00:00,1248.52,,0.030082042,0.000561358,0.022575238
2017-02-07 21:00:00,1248.52,,0.030075063,0.000561228,0.022575238
2017-02-07 22:00:00,1248.52,,0.030068101,0.000561098,0.022575238
2017-02-07 23:00:00,1248.52,,0.030061157,0.000560968,0.022575238
2017-02-08 00:00:00,1248.23,,0.030054231,0.000560839,0.021418106
2017-02-08 01:00:00,1248.23,,0.030047324,0.00056071,0.022575238
2017-02-08 02:00:00,1248.23,,0.030040435,0.000560582,0.022575238
2017-02-08 03:00:00,1248.23,,0.030033566,0.000560454,0.022575238
2017-02-08 04:00:00,1248.23,,0.030026716,0.000560326,0.022575238
2017-02-08 05:00:00,1248.23,,0.030019884,0.000560198,0.022575238
2017-02-08 06:00:00,1248.23,,0.030013072,0.000560071,0.022575238
2017-02-08 07:00:00,1248.23,,0.030006279,0.000559944,0.022575238
2017-02-08 08:00:00,1248.23,,0.029999506,0.000559818,0.023768541
2017-02-08 09:00:00,1248.23,,0.02999275,0.000559692,0.022575238
2017-02-08 10:00:00,1248.23,,0.029986014,0.000559566,0.023768541
2017-02-08 11:00:00,1248.23,,0.029979297,0.000559441,0.022575238
2017-02-08 12:00:00,1248.23,,0.029972597,0.000559316,0.022575238
2017-02-08 13:00:00,1248.23,,0.029965917,0.000559191,0.023768541
2017-02-08 14:00:00,1248.23,,0.029959254,0.000559067,0.022575238
2017-02-08 15:00:00,1248.23,,0.029952609,0.000558943,0.022575238
2017-02-08 16:00:00,1248.23,,0.029945982,0.000558819,0.022575238
2017-02-08 17:00:00,1248.23,,0.029939372,0.000558696,0.022575238
2017-02-08 18:00:00,1248.23,,0.02993278,0.000558573,0.022575238
2017-02-08 19:00:00,1248.23,,0.029926204,0.00055845,0.022575238
2017-02-08 20:00:00,1248.23,,0.029919645,0.000558328,0.022575238
2017-02-08 21:00:00,1248.23,,0.029913103,0.000558206,0.022575238
2017-02-08 22:00:00,1248.23,,0.029906577,0.000558084,0.022575238
